what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1336862877052
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1336862877057
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1336862877061
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1336862877068
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1336862877075
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1336862877081
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1336862878120
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1336862878153
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1336862878520
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1336862878521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336862881729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336862941625
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336862950330
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336862950417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1336862950435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336862959843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336862961660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336862964230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336862969003
opened,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1336862969358
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1336862969439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1336862969440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1336862969441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336862970910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336862972179
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336862980162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336862986729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336862987688
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336862987766
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1336863026412
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1336863030956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336863036192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863052476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863054962
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336863055029
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1336863056045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863062740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863082130
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336863082237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863090937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863158136
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1336863165426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863168126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863172435
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336863172532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863173442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863216538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863218809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863229523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336863233799
